Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BookAnAppointment,Chrome 132.0.6834.111,,,29-01-2025 17:49:38,29-01-2025 17:50:22,43.427s,PASSED
,,,,,,,
Test Cases/LoginFail,Chrome 132.0.6834.111,Testing Failed Login,,29-01-2025 17:49:39,29-01-2025 17:49:54,15.176s,PASSED
"openBrowser("""")",Chrome 132.0.6834.111,,,29-01-2025 17:49:39,29-01-2025 17:49:43,3.935s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 132.0.6834.111,,,29-01-2025 17:49:43,29-01-2025 17:49:47,3.653s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 132.0.6834.111,,,29-01-2025 17:49:47,29-01-2025 17:49:48,1.519s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""JohnDoe"")",Chrome 132.0.6834.111,,,29-01-2025 17:49:48,29-01-2025 17:49:50,2.022s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 132.0.6834.111,,,29-01-2025 17:49:50,29-01-2025 17:49:51,1.238s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 132.0.6834.111,,,29-01-2025 17:49:51,29-01-2025 17:49:53,1.469s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 0)",Chrome 132.0.6834.111,,,29-01-2025 17:49:53,29-01-2025 17:49:53,0.545s,PASSED
closeBrowser(),Chrome 132.0.6834.111,,,29-01-2025 17:49:53,29-01-2025 17:49:54,0.501s,PASSED
,,,,,,,
Test Cases/Login,Chrome 132.0.6834.111,,,29-01-2025 17:49:54,29-01-2025 17:50:05,11.201s,PASSED
"openBrowser("""")",Chrome 132.0.6834.111,,,29-01-2025 17:49:54,29-01-2025 17:49:56,1.807s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 132.0.6834.111,,,29-01-2025 17:49:56,29-01-2025 17:50:00,3.684s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 132.0.6834.111,,,29-01-2025 17:50:00,29-01-2025 17:50:01,1.477s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 132.0.6834.111,,,29-01-2025 17:50:01,29-01-2025 17:50:02,1.225s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 132.0.6834.111,,,29-01-2025 17:50:02,29-01-2025 17:50:03,0.732s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 132.0.6834.111,,,29-01-2025 17:50:03,29-01-2025 17:50:05,1.649s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 132.0.6834.111,,,29-01-2025 17:50:05,29-01-2025 17:50:05,0.472s,PASSED
,,,,,,,
Test Cases/Bookanappointment,Chrome 132.0.6834.111,,,29-01-2025 17:50:05,29-01-2025 17:50:22,16.785s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 132.0.6834.111,,,29-01-2025 17:50:05,29-01-2025 17:50:16,10.195s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 132.0.6834.111,,,29-01-2025 17:50:16,29-01-2025 17:50:17,1.528s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 132.0.6834.111,,,29-01-2025 17:50:17,29-01-2025 17:50:18,0.517s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 132.0.6834.111,,,29-01-2025 17:50:18,29-01-2025 17:50:18,0.439s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Chrome 132.0.6834.111,,,29-01-2025 17:50:18,29-01-2025 17:50:18,0.452s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_30""))",Chrome 132.0.6834.111,,,29-01-2025 17:50:18,29-01-2025 17:50:19,0.658s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Success"")",Chrome 132.0.6834.111,,,29-01-2025 17:50:19,29-01-2025 17:50:20,1.031s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 132.0.6834.111,,,29-01-2025 17:50:20,29-01-2025 17:50:21,0.669s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/appointment.php#summary"")",Chrome 132.0.6834.111,,,29-01-2025 17:50:21,29-01-2025 17:50:21,0.091s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Chrome 132.0.6834.111,,,29-01-2025 17:50:21,29-01-2025 17:50:21,0.591s,PASSED
closeBrowser(),Chrome 132.0.6834.111,,,29-01-2025 17:50:21,29-01-2025 17:50:22,0.426s,PASSED
